avert_true,avert_m1,avert_m3,nsam,lag,seed,deterministic
28664,25668,28021,1000000,14,593,FALSE
28239,25772,28129,1000000,14,594,FALSE
28315,25745,28088,1000000,14,595,FALSE
27742,25933,28308,1000000,14,596,FALSE
28636,25682,28036,1000000,14,597,FALSE
28128,25822,28191,1000000,14,598,FALSE
27478,25991,28368,1000000,14,599,FALSE
27908,25877,28249,1000000,14,600,FALSE
27941,25883,28259,1000000,14,601,FALSE
28430,25749,28112,1000000,14,602,FALSE
28255,25796,28165,1000000,14,603,FALSE
27923,25873,28245,1000000,14,604,FALSE
27931,25890,28269,1000000,14,605,FALSE
27954,25880,28258,1000000,14,606,FALSE
28177,25829,28206,1000000,14,607,FALSE
28472,25726,28086,1000000,14,608,FALSE
28592,25692,28043,1000000,14,609,FALSE
27927,25888,28268,1000000,14,610,FALSE
28196,25801,28165,1000000,14,611,FALSE
28434,25734,28091,1000000,14,612,FALSE
28101,25826,28190,1000000,14,613,FALSE
28020,25843,28212,1000000,14,614,FALSE
28545,25717,28088,1000000,14,615,FALSE
28268,25800,28173,1000000,14,616,FALSE
28500,25700,28046,1000000,14,617,FALSE
27559,25977,28358,1000000,14,618,FALSE
28427,25740,28100,1000000,14,619,FALSE
28426,25734,28096,1000000,14,620,FALSE
27946,25856,28219,1000000,14,621,FALSE
27848,25888,28258,1000000,14,622,FALSE
28419,25725,28077,1000000,14,623,FALSE
27965,25872,28244,1000000,14,624,FALSE
28244,25794,28162,1000000,14,625,FALSE
27980,25843,28201,1000000,14,626,FALSE
28007,25847,28213,1000000,14,627,FALSE
